time	V(adc_out)
3.485260952044623e-03	1.918984e+00
3.495026577044623e-03	1.739078e+00
3.504792202044623e-03	1.556094e+00
3.514557827044623e-03	1.376214e+00
3.524323452044622e-03	1.205517e+00
3.534089077044622e-03	1.049769e+00
3.543854702044622e-03	9.142341e-01
3.553620327044622e-03	8.034912e-01
3.563385952044622e-03	7.212823e-01
3.573151577044621e-03	6.703851e-01
3.582917202044621e-03	6.525193e-01
3.588178662363383e-03	6.568446e-01
3.596218841609099e-03	6.822258e-01
3.605984466609099e-03	7.427344e-01
3.615750091609098e-03	8.338304e-01
3.625515716609098e-03	9.524357e-01
3.635281341609098e-03	1.094543e+00
3.645046966609098e-03	1.255350e+00
3.654812591609098e-03	1.429423e+00
3.664578216609097e-03	1.610881e+00
3.674343841609097e-03	1.793593e+00
3.684109466609097e-03	1.971384e+00
3.693875091609097e-03	2.138248e+00
3.703640716609097e-03	2.288547e+00
3.713406341609096e-03	2.417201e+00
3.723171966609096e-03	2.519864e+00
3.732937591609096e-03	2.593068e+00
3.742703216609096e-03	2.634338e+00
3.752273479257634e-03	2.642452e+00
3.758701511220695e-03	2.629756e+00
3.768467136220695e-03	2.583043e+00
3.778232761220695e-03	2.504735e+00
3.787998386220695e-03	2.397478e+00
3.797764011220694e-03	2.264897e+00
3.807529636220694e-03	2.111471e+00
3.817295261220694e-03	1.942385e+00
3.827060886220694e-03	1.763352e+00
3.836826511220694e-03	1.580421e+00
3.846592136220693e-03	1.399773e+00
3.856357761220693e-03	1.227513e+00
3.866123386220693e-03	1.069460e+00
3.875889011220693e-03	9.309558e-01
3.885654636220693e-03	8.166800e-01
3.895420261220692e-03	7.304928e-01
3.905185886220692e-03	6.753078e-01
3.914951511220692e-03	6.529885e-01
3.921028987446967e-03	6.560710e-01
3.928766826717818e-03	6.787883e-01
3.938532451717817e-03	7.367341e-01
3.948298076717817e-03	8.254706e-01
3.958063701717817e-03	9.420004e-01
3.967829326717817e-03	1.082385e+00
3.977594951717817e-03	1.241882e+00
3.987360576717816e-03	1.415101e+00
3.997126201717816e-03	1.596190e+00
4.006891826717816e-03	1.779030e+00
4.016657451717816e-03	1.957443e+00
4.026423076717816e-03	2.125400e+00
4.036188701717815e-03	2.277227e+00
4.045954326717815e-03	2.407794e+00
4.055719951717815e-03	2.512688e+00
4.065485576717815e-03	2.588366e+00
4.075251201717815e-03	2.632271e+00
4.085016826717814e-03	2.642919e+00
4.091074419289280e-03	2.632605e+00
4.100840044289279e-03	2.589103e+00
4.110605669289279e-03	2.513801e+00
4.120371294289279e-03	2.409246e+00
4.130136919289279e-03	2.278970e+00
4.139902544289279e-03	2.127374e+00
4.149668169289278e-03	1.959582e+00
4.159433794289278e-03	1.781262e+00
4.169199419289278e-03	1.598441e+00
4.178965044289278e-03	1.417295e+00
4.188730669289278e-03	1.243946e+00
4.198496294289277e-03	1.084250e+00
4.208261919289277e-03	9.436037e-01
4.218027544289277e-03	8.267593e-01
4.227793169289277e-03	7.376644e-01
4.237558794289276e-03	6.793301e-01
4.247324419289276e-03	6.537267e-01
4.254004823656537e-03	6.555587e-01
4.261518739345754e-03	6.763878e-01
4.271284364345754e-03	7.324277e-01
4.281049989345754e-03	8.194053e-01
4.290815614345754e-03	9.343817e-01
4.300581239345754e-03	1.073472e+00
4.310346864345753e-03	1.231976e+00
4.320112489345753e-03	1.404539e+00
4.329878114345753e-03	1.585329e+00
4.339643739345753e-03	1.768238e+00
4.349409364345753e-03	1.947085e+00
4.359174989345752e-03	2.115828e+00
4.368940614345752e-03	2.268765e+00
4.378706239345752e-03	2.400729e+00
4.388471864345752e-03	2.507260e+00
4.398237489345752e-03	2.584760e+00
4.408003114345751e-03	2.630609e+00
4.417768739345751e-03	2.643258e+00
4.423461142229597e-03	2.635097e+00
4.432718575952245e-03	2.597677e+00
4.442484200952244e-03	2.526976e+00
4.452249825952244e-03	2.426578e+00
4.462015450952244e-03	2.299874e+00
4.471781075952244e-03	2.151145e+00
4.481546700952244e-03	1.985418e+00
4.491312325952243e-03	1.808291e+00
4.501077950952243e-03	1.625750e+00
4.510843575952243e-03	1.443963e+00
4.520609200952243e-03	1.269072e+00
4.530374825952243e-03	1.106987e+00
4.540140450952242e-03	9.631840e-01
4.549906075952242e-03	8.425224e-01
